A: 00 F: 10 B: 01 C: 10 D: C0 E: 0A H: 40 L: 0A SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: CE F: 10 B: 01 C: 10 D: C0 E: 0A H: 40 L: 0B SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: CE F: 10 B: 01 C: 10 D: C0 E: 0A H: 40 L: 0B SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: CE F: 10 B: 01 C: 10 D: C0 E: 0B H: 40 L: 0B SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: CE F: 10 B: 01 C: 10 D: C0 E: 0B H: 40 L: 0B SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 01 F: 10 B: 01 C: 10 D: C0 E: 0B H: 40 L: 0C SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 01 F: 10 B: 01 C: 10 D: C0 E: 0B H: 40 L: 0C SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 01 F: 10 B: 01 C: 10 D: C0 E: 0C H: 40 L: 0C SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 01 F: 10 B: 01 C: 10 D: C0 E: 0C H: 40 L: 0C SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: D0 F: 10 B: 01 C: 10 D: C0 E: 0C H: 40 L: 0D SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: D0 F: 10 B: 01 C: 10 D: C0 E: 0C H: 40 L: 0D SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: D0 F: 10 B: 01 C: 10 D: C0 E: 0D H: 40 L: 0D SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: D0 F: 10 B: 01 C: 10 D: C0 E: 0D H: 40 L: 0D SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 0D H: 40 L: 0E SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 0D H: 40 L: 0E SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 0E H: 40 L: 0E SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 0E H: 40 L: 0E SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 00 F: 10 B: 01 C: 10 D: C0 E: 0E H: 40 L: 0F SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 00 F: 10 B: 01 C: 10 D: C0 E: 0E H: 40 L: 0F SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 00 F: 10 B: 01 C: 10 D: C0 E: 0F H: 40 L: 0F SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 00 F: 10 B: 01 C: 10 D: C0 E: 0F H: 40 L: 0F SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 0F H: 40 L: 10 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 0F H: 40 L: 10 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C9 F: 30 B: 01 C: 10 D: C0 E: 10 H: 40 L: 10 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C9 F: 30 B: 01 C: 10 D: C0 E: 10 H: 40 L: 10 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: B7 F: 30 B: 01 C: 10 D: C0 E: 10 H: 40 L: 11 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: B7 F: 30 B: 01 C: 10 D: C0 E: 10 H: 40 L: 11 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: B7 F: 10 B: 01 C: 10 D: C0 E: 11 H: 40 L: 11 SP: FFFE PC: 00:0209 (20 FB 14 0D)
